stage	token	serial_sha256	ring_sha256	exact
5	5	b61d0e9ca08f653ca6fc770eb2184becb5d3394ec979b92cc3ef3806866968a5	b61d0e9ca08f653ca6fc770eb2184becb5d3394ec979b92cc3ef3806866968a5	1
6	0	9cec71c550e8e2cfbcad659e9c38a5213ea579fada7d73739b4a4b285dca86f8	9cec71c550e8e2cfbcad659e9c38a5213ea579fada7d73739b4a4b285dca86f8	1
6	1	d0d8a826541661db884831ab6b2b1062fd80831cb9d41f691cfd2b205245f4fa	d0d8a826541661db884831ab6b2b1062fd80831cb9d41f691cfd2b205245f4fa	1
6	2	5c634e1fe99a2ec82c5c06756391c9ead0c05990fc9abad1d0b9728937afc03b	5c634e1fe99a2ec82c5c06756391c9ead0c05990fc9abad1d0b9728937afc03b	1
6	3	e330f7467ab4e83d27231148187dabf9f304fcb8b8f9a93e71f8e767d1b33859	e330f7467ab4e83d27231148187dabf9f304fcb8b8f9a93e71f8e767d1b33859	1
6	4	02ef490c04cbfb69bdc692e70b52b06291ac3e1b18a2b81bdcb16bef2361eb19	02ef490c04cbfb69bdc692e70b52b06291ac3e1b18a2b81bdcb16bef2361eb19	1
6	5	8843e5fb3fa1d0163871f3e0ba8331b1aa1493b4b30ef9c5145bf49e96e5542c	8843e5fb3fa1d0163871f3e0ba8331b1aa1493b4b30ef9c5145bf49e96e5542c	1
7	0	2160627ea241c9ec53160eb02587c3a81ba6edc1f148f6bb5f328154ecdff051	2160627ea241c9ec53160eb02587c3a81ba6edc1f148f6bb5f328154ecdff051	1
7	1	92fc8d56282b964137d57b953de834f7f9966dd92594f9627d27e5e5af5f9a49	92fc8d56282b964137d57b953de834f7f9966dd92594f9627d27e5e5af5f9a49	1
7	2	8367c3ea1ef237ce7397744f293e5643397237b464484fa24953fe283c39741c	8367c3ea1ef237ce7397744f293e5643397237b464484fa24953fe283c39741c	1
7	3	cff1df1814df3d88b22db354d51d778aa6e99bb8ca4b23e94700295668c7004d	cff1df1814df3d88b22db354d51d778aa6e99bb8ca4b23e94700295668c7004d	1
7	4	541d7e62cd5403b9995348cb0b28105aecba07c3b0ac7d6c5bbdf76a0d4fc612	541d7e62cd5403b9995348cb0b28105aecba07c3b0ac7d6c5bbdf76a0d4fc612	1
7	5	96d0256f242db40817f80ba74101968e4e4d6c16b306e6406bd3aef2f4b045b8	96d0256f242db40817f80ba74101968e4e4d6c16b306e6406bd3aef2f4b045b8	1
8	0	f106c3f6fb6dadc213faa35c7bfd4d88c4db09ac0e93e03f3005c389f3d33723	f106c3f6fb6dadc213faa35c7bfd4d88c4db09ac0e93e03f3005c389f3d33723	1
8	1	b4fc6790ef789ff6948878acbd6c1615ee6ab2112456703ebdb8fcd41b5962c3	b4fc6790ef789ff6948878acbd6c1615ee6ab2112456703ebdb8fcd41b5962c3	1
8	2	a6d8403c24cfbe01e83b165d53d9f6f55b5c68779c0935856fe83448f2d56add	a6d8403c24cfbe01e83b165d53d9f6f55b5c68779c0935856fe83448f2d56add	1
8	3	2c9cc81826ee16f4b4d7e69578da2a7bf8009277f6a56d69c5915ee73311ba49	2c9cc81826ee16f4b4d7e69578da2a7bf8009277f6a56d69c5915ee73311ba49	1
8	4	e7750f53f417d80ba7f76b061a9cc9368b7092665f046995e454ee76e05f23b4	e7750f53f417d80ba7f76b061a9cc9368b7092665f046995e454ee76e05f23b4	1
8	5	be12fe3fc1aa093cd2a5a44298fd6aa8a20798e30cb27d2dbfeb45795c5bca5e	be12fe3fc1aa093cd2a5a44298fd6aa8a20798e30cb27d2dbfeb45795c5bca5e	1
9	0	580902b4349a162bd38260881c8190bcbd6cede9644364306631f0939f933abd	580902b4349a162bd38260881c8190bcbd6cede9644364306631f0939f933abd	1
9	1	238cbb53279151357b7708831bd76b7080e1be31807e9123de51d57ff79b48bd	238cbb53279151357b7708831bd76b7080e1be31807e9123de51d57ff79b48bd	1
9	2	03344b6c3cb3e8cfc87a5ffda52e7baa96f73c28acb82fdb147d71a72f2db349	03344b6c3cb3e8cfc87a5ffda52e7baa96f73c28acb82fdb147d71a72f2db349	1
9	3	2ab162c6d60cf73c78a8686df9550133cab62d8389d5cea8693814fed1eeefe6	2ab162c6d60cf73c78a8686df9550133cab62d8389d5cea8693814fed1eeefe6	1
9	4	979748444227aee0b367ae59d8f80a087e064ef64e2a13b90cb8c8ab113f13b2	979748444227aee0b367ae59d8f80a087e064ef64e2a13b90cb8c8ab113f13b2	1
9	5	aea16ded89f57cf64123e4216124261274dfe6f16d8179554379da890d713b8c	aea16ded89f57cf64123e4216124261274dfe6f16d8179554379da890d713b8c	1
10	0	a5c9131630b08d2f69c34a7961150c079fd97ef12ff1b5a7e2b057bbd6695369	a5c9131630b08d2f69c34a7961150c079fd97ef12ff1b5a7e2b057bbd6695369	1
10	1	a7a5963fbbc9d88b83276f1f7c0ca3b0806ee7ff7237682a2039138e00c601d9	a7a5963fbbc9d88b83276f1f7c0ca3b0806ee7ff7237682a2039138e00c601d9	1
10	2	e563e765d9451d8271993e48d4c1f1130a07dd739fdcf40a28fe3cd320ff6001	e563e765d9451d8271993e48d4c1f1130a07dd739fdcf40a28fe3cd320ff6001	1
10	3	ca9c42c420240fe200633ad9992fa708fbc527de113c44250809026412ed3d34	ca9c42c420240fe200633ad9992fa708fbc527de113c44250809026412ed3d34	1
10	4	d673374198ee8e90ddce81af7af1e1c5fca6a99d1f440b92f19f3eb687a3e857	d673374198ee8e90ddce81af7af1e1c5fca6a99d1f440b92f19f3eb687a3e857	1
10	5	e095f701b99b9a9fa1e6dda7f58caed7c743329dea0450f1de571c92951083cf	e095f701b99b9a9fa1e6dda7f58caed7c743329dea0450f1de571c92951083cf	1
11	0	be237c315f53e0b015d33ad067bb28f632d869d4f628c3af8595717e75cc01a0	be237c315f53e0b015d33ad067bb28f632d869d4f628c3af8595717e75cc01a0	1
11	1	bf10aee6f4fce41bf923edc440f677aca87e5a0ee5e869ca759a2d920b1f428e	bf10aee6f4fce41bf923edc440f677aca87e5a0ee5e869ca759a2d920b1f428e	1
11	2	4e5933cdd3bd559005c7747bfd40fdaca52428e1e71e0843863a2fa0392f2a41	4e5933cdd3bd559005c7747bfd40fdaca52428e1e71e0843863a2fa0392f2a41	1
11	3	06d889f4831237504c7add6a124040eb2e1187cf9a7330f344d5b0bbffb17ab4	06d889f4831237504c7add6a124040eb2e1187cf9a7330f344d5b0bbffb17ab4	1
11	4	33913b379a02f52c922586c3b3836b69206e5f455b816baf5a0b76104623439b	33913b379a02f52c922586c3b3836b69206e5f455b816baf5a0b76104623439b	1
11	5	4785cf7a744f39fb4e5db1d3f0bc0e907c78ed3386cfe575b8f638adca2b8908	4785cf7a744f39fb4e5db1d3f0bc0e907c78ed3386cfe575b8f638adca2b8908	1
